step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed
350,3,0.505842,3.3851,0.0112,0,0,0
400,3,0.437791,2.7891,-0.1677,0,0,0
450,3,0.293649,3.7046,0.0387,0,0,0
500,3,0.351816,3.3497,0.1939,0,0,0
550,3,0.286266,4.3894,-0.0095,0,0,0
600,3,0.414315,3.0192,-0.1785,0,0,0
650,3,0.192697,3.8759,-0.0386,0,0,0
700,3,0.194222,4.3307,-0.0017,0,0,0
750,3,0.187640,4.0511,-0.1863,0,0,0
800,3,0.115243,4.5280,-0.0510,0,0,0
850,3,0.207162,4.5071,-0.0586,0,0,0
900,3,0.086851,4.6050,0.1037,0,0,0
950,3,0.074046,4.6527,0.0481,0,0,0
1000,3,0.353473,4.4726,0.0781,0,0,0
1050,3,0.196381,4.5626,0.0975,0,0,0
1100,3,0.057534,4.6247,0.0303,0,0,0
1150,3,0.114389,4.2065,-0.0302,0,0,0
1200,3,0.159033,4.3820,-0.1220,0,0,0
1250,3,0.104285,4.5349,0.0205,0,0,0
1300,3,0.048513,4.6527,0.0339,0,0,0
1350,3,0.115576,4.6064,0.0404,0,0,0
1400,3,0.048269,4.6527,0.0000,0,0,0
1450,3,0.066250,4.1856,0.0254,0,0,0
1500,3,0.063520,4.5483,0.0168,0,0,0
1550,3,0.057559,4.6527,0.0000,0,0,0
1600,3,0.186306,4.6527,0.0463,0,0,0
1650,3,0.072099,4.6401,0.0800,0,0,0
1700,3,0.038887,4.6527,0.0154,0,0,0
1750,3,0.088400,4.6093,0.0594,0,0,0
1800,3,0.058014,4.6069,-0.0291,0,0,0
1850,3,0.037848,4.6527,0.0000,0,0,0
1900,3,0.047558,4.6373,-0.0154,0,0,0
1950,3,0.044412,4.6527,0.0000,0,0,0
2000,3,0.026063,4.6361,0.0400,0,0,0
2050,3,0.061670,4.6104,0.0341,0,0,0
2100,3,0.047004,4.6236,-0.0291,0,0,0
2150,3,0.032990,4.6527,0.0000,0,0,0
2200,3,0.035785,4.6527,0.0000,0,0,0
2250,3,0.049797,4.6527,0.0148,0,0,0
2300,3,0.081062,4.1353,-0.0706,0,0,0
2350,4,0.027836,4.6527,0.0000,0,0,0
2400,4,0.032109,4.6527,0.0000,0,0,0
2450,4,0.024432,4.6527,0.0000,0,0,0
2500,4,0.020632,4.6527,0.0000,0,0,0
2550,4,0.023513,4.6527,0.0000,0,0,0
2600,4,0.025719,4.6527,0.0000,0,0,0
2650,4,0.018438,4.6527,0.0000,0,0,0
2700,4,0.028426,4.6527,0.0000,0,0,0
2750,4,0.031965,4.6367,-0.0160,0,0,0
2800,4,0.031383,4.6527,0.0143,0,0,0
2850,4,0.026801,4.6527,0.0000,0,0,0
2900,4,0.030516,4.6527,0.0000,0,0,0
2950,4,0.023007,4.6527,0.0000,0,0,0
3000,4,0.033042,4.6527,0.0000,0,0,0
3050,4,0.027810,4.5923,-0.0604,0,0,0
3100,4,0.034471,4.6527,0.0160,0,0,0
3150,4,0.023983,4.6527,0.0143,0,0,0
3200,4,0.014727,4.6527,0.0000,0,0,0
3250,4,0.026958,4.6390,-0.0137,0,0,0
3300,4,0.020259,4.6527,0.0000,0,0,0
3350,4,0.026306,4.6527,0.0000,0,0,0
3400,4,0.018751,4.6367,-0.0160,0,0,0
3450,4,0.025331,4.6373,-0.0012,0,0,0
3500,4,0.014278,4.6527,0.0000,0,0,0
3550,4,0.022412,4.6527,0.0000,0,0,0
3600,4,0.023159,4.6384,-0.0011,0,0,0
3650,4,0.030509,4.6379,-0.0148,0,0,0
3700,4,0.023681,4.6527,0.0000,0,0,0
3750,4,0.019594,4.6527,0.0000,0,0,0
3800,4,0.013576,4.6230,0.0000,0,0,0
