step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,alpha,lambda_ctx
350,3,1.357934,2.0322,0.1072,0,0,0,0.9755,0.5
400,3,1.055983,1.8447,0.0351,0,0,0,0.9505,0.5
450,3,1.052833,2.1624,-0.0334,0,0,0,0.9255,0.5
500,3,1.166854,2.4922,0.0150,0,0,0,0.9005,0.5
550,3,1.111392,1.7799,0.0254,0,0,0,0.8755,0.5
600,3,0.831578,1.7366,-0.0130,0,0,0,0.8505,0.5
650,3,0.733030,1.0238,-0.0689,0,0,0,0.8255,0.5
700,3,0.652532,1.9295,-0.0105,0,0,0,0.8005,0.5
750,3,0.403811,1.2986,-0.0407,0,0,0,0.7755,0.5
800,3,0.453091,0.7504,0.1928,0,0,0,0.7505,0.5
850,3,0.589974,2.3417,-0.1722,0,0,0,0.7255,0.5
900,3,0.364174,1.6254,-0.1149,0,0,0,0.7005,0.5
950,3,0.290936,1.5394,-0.1306,0,0,0,0.6755,0.5
1000,3,0.317652,0.9459,-0.0399,0,0,0,0.6505,0.5
1050,3,0.227683,1.0804,-0.2763,0,0,0,0.6255,0.5
1100,3,0.370962,0.6793,-0.1324,0,0,0,0.6005,0.5
1150,3,0.275853,1.4175,-0.1695,0,0,0,0.5755,0.5
1200,3,0.193310,0.8690,-0.2087,0,0,0,0.5505,0.5
1250,3,0.198798,1.1334,-0.3858,0,0,0,0.5255,0.5
1300,3,0.166436,1.1830,-0.3856,0,0,0,0.5005,0.5
1350,3,0.143060,0.9831,-0.0061,1,0,0,0.4755,0.5
1400,3,0.172780,0.9792,-0.1524,1,0,0,0.4505,0.5
1450,3,0.211038,1.2155,-0.6933,0,0,0,0.4255,0.5
1500,3,0.139093,1.1633,-0.4171,1,0,0,0.4005,0.5
1550,3,0.463686,1.0516,-0.3380,4,0,0,0.3755,0.5
1600,3,0.124162,1.5637,-0.3839,0,0,0,0.3505,0.5
1650,3,0.138910,1.1418,-0.5360,3,0,0,0.3255,0.5
1700,3,0.133902,1.3025,-0.4542,4,0,0,0.3005,0.5
1750,3,0.125623,1.7133,-0.5378,0,0,0,0.2755,0.5
1800,3,0.190125,1.4194,-0.7797,1,0,0,0.2505,0.5
1850,3,0.105752,1.6278,-0.2216,5,0,0,0.2255,0.5
1900,3,0.123120,1.9279,-0.2211,4,0,0,0.2005,0.5
1950,3,0.586410,3.4583,1.1176,5,0,0,0.1755,0.5
2000,3,0.901404,4.1626,0.0850,0,0,0,0.1505,0.5
2050,3,0.656566,3.6565,0.7129,5,0,0,0.1255,0.5
2100,3,0.528914,3.0303,0.6684,4,0,0,0.1005,0.5
2150,3,0.859089,1.4025,-0.3661,0,0,0,0.0755,0.5
2200,3,1.025778,3.1576,0.6370,5,0,0,0.0505,0.5
2250,3,1.150790,2.3677,0.3709,0,0,0,0.0255,0.5
2300,3,1.035683,2.5994,0.3133,1,0,0,0.0005,0.5
2350,3,1.045979,2.1129,-0.0694,0,0,0,0.0000,0.5
2400,3,1.082811,2.7340,-0.1182,0,0,0,0.0000,0.5
2450,3,1.013087,2.6603,0.0651,0,0,0,0.0000,0.5
2500,3,0.912526,3.0197,0.0457,0,0,0,0.0000,0.5
2550,3,1.094103,2.5697,-0.0636,0,0,0,0.0000,0.5
2600,3,1.202196,2.5681,-0.0382,0,0,0,0.0000,0.5
2650,3,0.768490,2.8730,0.0359,0,0,0,0.0000,0.5
2700,3,0.819131,3.3352,0.0207,0,0,0,0.0000,0.5
2750,3,1.000860,2.7350,-0.0876,0,0,0,0.0000,0.5
2800,3,0.942762,2.7140,0.0697,0,0,0,0.0000,0.5
2850,3,0.892414,3.3297,0.1149,0,0,0,0.0000,0.5
2900,3,0.893265,3.0214,0.1560,0,0,0,0.0000,0.5
2950,3,0.966535,2.8183,0.0328,0,0,0,0.0000,0.5
3000,3,1.011437,2.7823,-0.0601,0,0,0,0.0000,0.5
3050,3,0.698304,3.5893,-0.0495,0,0,0,0.0000,0.5
3100,3,0.840392,3.1692,-0.0402,0,0,0,0.0000,0.5
3150,3,0.733395,3.3587,0.2253,0,0,0,0.0000,0.5
3200,3,0.719518,3.4349,0.0666,0,0,0,0.0000,0.5
3250,3,0.753426,3.1433,0.1883,0,0,0,0.0000,0.5
3300,3,0.665495,3.8458,0.1820,0,0,0,0.0000,0.5
3350,3,0.986220,2.7507,0.0217,0,0,0,0.0000,0.5
3400,3,0.838801,3.0055,0.0189,0,0,0,0.0000,0.5
3450,3,0.781694,3.4903,0.1044,0,0,0,0.0000,0.5
3500,3,0.944374,2.7420,0.0592,0,0,0,0.0000,0.5
3550,3,0.717686,3.9662,-0.0042,0,0,0,0.0000,0.5
3600,3,0.803623,3.2608,0.0601,0,0,0,0.0000,0.5
3650,3,0.917982,3.2054,0.1698,0,0,0,0.0000,0.5
3700,3,0.782677,3.6850,0.2363,0,0,0,0.0000,0.5
3750,3,0.770548,3.1607,0.1374,0,0,0,0.0000,0.5
3800,3,0.791673,2.7545,0.0292,0,0,0,0.0000,0.5
3850,3,0.866923,2.8962,0.0589,0,0,0,0.0000,0.5
3900,3,0.808298,3.2044,0.1505,0,0,0,0.0000,0.5
3950,3,0.563489,3.8332,0.0844,0,0,0,0.0000,0.5
4000,3,0.931747,3.0825,-0.0271,0,0,0,0.0000,0.5
4050,3,0.924703,2.5462,0.1270,0,0,0,0.0000,0.5
4100,3,0.904465,2.8357,-0.0168,0,0,0,0.0000,0.5
4150,3,0.731312,4.4777,0.1322,0,0,0,0.0000,0.5
4200,3,1.019516,3.2831,0.1839,0,0,0,0.0000,0.5
4250,3,1.030032,2.7957,-0.0168,0,0,0,0.0000,0.5
4300,3,0.879871,2.6552,0.0216,0,0,0,0.0000,0.5
4350,4,0.213075,4.4622,0.0456,0,0,0,0.0000,0.0
4400,4,0.202765,4.2743,-0.0561,0,0,0,0.0000,0.0
4450,4,0.199941,4.3468,0.2447,0,0,0,0.0000,0.0
4500,4,0.230745,4.1100,-0.0296,0,0,0,0.0000,0.0
4550,4,0.184547,4.4178,0.0248,0,0,0,0.0000,0.0
4600,4,0.198016,4.3094,0.1546,0,0,0,0.0000,0.0
4650,4,0.180186,4.4233,0.0782,0,0,0,0.0000,0.0
4700,4,0.170299,4.2009,-0.1818,0,0,0,0.0000,0.0
4750,4,0.172189,4.3626,0.0906,0,0,0,0.0000,0.0
4800,4,0.163973,4.5330,0.0696,0,0,0,0.0000,0.0
4850,4,0.189659,4.2585,-0.2565,0,0,0,0.0000,0.0
4900,4,0.186392,4.2310,-0.0767,0,0,0,0.0000,0.0
4950,4,0.186756,4.0360,0.1617,0,0,0,0.0000,0.0
5000,4,0.197191,4.5454,0.3040,0,0,0,0.0000,0.0
