step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,hint_strength
350,3,0.474865,4.6527,0.0000,0,0,0,0.9755
400,3,0.341389,4.4980,0.0000,0,0,0,0.9505
450,3,0.259598,4.4917,0.0000,0,0,0,0.9255
500,3,0.206839,3.5815,0.0000,0,0,0,0.9005
550,3,0.146984,3.4307,0.0000,0,0,0,0.8755
600,3,0.109644,3.5808,0.0000,0,0,0,0.8505
650,3,0.122435,2.6859,0.0000,0,0,0,0.8255
700,3,0.075955,3.5035,0.0000,0,0,0,0.8005
750,3,0.064796,3.3548,0.0000,0,0,0,0.7755
800,3,0.048469,3.5204,0.0000,0,0,0,0.7505
850,3,0.047669,3.2563,0.0000,0,0,0,0.7255
900,3,0.042791,3.1607,0.0000,0,0,0,0.7005
950,3,0.051288,3.4022,0.0000,0,0,0,0.6755
1000,3,0.029850,3.3721,0.0000,0,0,0,0.6505
1050,3,0.023214,3.7116,0.0000,0,0,0,0.6255
1100,3,0.032174,3.3799,0.0000,0,0,0,0.6005
1150,3,0.023125,3.6891,0.0000,0,0,0,0.5755
1200,3,0.020473,3.6245,0.0000,0,0,0,0.5505
1250,3,0.015954,3.7175,0.0000,0,0,0,0.5255
1300,3,0.017764,3.6628,0.0000,0,0,0,0.5005
1350,3,0.019001,3.5221,0.0000,0,0,0,0.4755
1400,3,0.013364,4.0527,0.0000,0,0,0,0.4505
1450,3,0.014242,3.8028,0.0000,0,0,0,0.4255
1500,3,0.016680,4.1163,0.0000,0,0,0,0.4005
1550,3,0.011071,3.8072,0.0000,0,0,0,0.3755
1600,3,0.014686,4.0925,0.0000,0,0,0,0.3505
1650,3,0.015527,3.9062,0.0000,0,0,0,0.3255
1700,3,0.013336,4.1217,0.0000,0,0,0,0.3005
1750,3,0.012227,4.2642,0.0000,0,0,0,0.2755
1800,3,0.012332,4.2347,0.0000,0,0,0,0.2505
1850,3,0.008736,3.9509,0.0000,0,0,0,0.2255
1900,3,0.012576,4.0421,0.0000,0,0,0,0.2005
1950,3,0.010271,4.3433,0.0000,0,0,0,0.1755
2000,3,0.009284,4.0372,0.0000,0,0,0,0.1505
2050,3,0.010319,4.3160,0.0000,0,0,0,0.1255
2100,3,0.008860,4.2718,0.0000,0,0,0,0.1005
2150,3,0.011034,4.2384,0.0000,0,0,0,0.0755
2200,3,0.007741,4.2394,0.0000,0,0,0,0.0505
2250,3,0.009506,4.3804,0.0000,0,0,0,0.0255
2300,3,0.012927,4.3541,0.0000,0,0,0,0.0005
2350,4,0.006984,4.6384,0.0000,0,0,0,0.0000
2400,4,0.005098,4.6527,0.0000,0,0,0,0.0000
2450,4,0.005042,4.6527,0.0000,0,0,0,0.0000
2500,4,0.004840,4.6527,0.0000,0,0,0,0.0000
2550,4,0.005492,4.6527,0.0154,0,0,0,0.0000
2600,4,0.005289,4.6527,0.0000,0,0,0,0.0000
2650,4,0.011300,4.6527,0.0000,0,0,0,0.0000
2700,4,0.004588,4.6527,0.0000,0,0,0,0.0000
