step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma
350,3,0.471324,4.6527,0.0000,0,0,0,0.99
400,3,0.449017,3.9448,-0.0796,0,0,0,0.99
450,3,0.314642,4.2776,-0.0339,0,0,0,0.99
500,3,0.395180,4.5476,0.0567,0,0,0,0.99
550,3,0.155009,4.4813,-0.0497,0,0,0,0.99
600,3,0.109258,4.4757,0.0133,0,0,0,0.99
650,3,0.283970,4.5465,-0.0296,0,0,0,0.99
700,3,0.061671,4.6052,0.0618,0,0,0,0.99
750,3,0.049448,4.6084,0.0279,0,0,0,0.99
800,3,0.039915,4.5925,-0.0281,0,0,0,0.99
850,3,0.037094,4.6379,0.0483,0,0,0,0.99
900,3,0.024729,4.6348,0.0252,0,0,0,0.99
950,3,0.050369,4.5637,-0.0124,0,0,0,0.99
1000,3,0.024655,4.6527,0.0000,0,0,0,0.99
1050,3,0.015982,4.6064,-0.0463,0,0,0,0.99
1100,3,0.014990,4.6527,0.0000,0,0,0,0.99
1150,3,0.016789,4.6396,-0.0131,0,0,0,0.99
1200,3,0.015580,4.6373,-0.0154,0,0,0,0.99
1250,3,0.011850,4.6527,0.0000,0,0,0,0.99
1300,3,0.015362,4.6527,0.0292,0,0,0,0.99
1350,4,0.005807,4.6527,0.0000,0,0,0,0.99
1400,4,0.005694,4.6527,0.0000,0,0,0,0.99
1450,4,0.005676,4.6527,0.0000,0,0,0,0.99
1500,4,0.005320,4.6527,0.0000,0,0,0,0.99
1550,4,0.005326,4.6527,0.0000,0,0,0,0.99
1600,4,0.005243,4.6527,0.0000,0,0,0,0.99
1650,4,0.005145,4.6361,-0.0006,0,0,0,0.99
1700,4,0.005132,4.6527,0.0000,0,0,0,0.99
1750,4,0.004915,4.6390,-0.0137,0,0,0,0.99
1800,4,0.006359,4.6527,0.0000,0,0,0,0.99
1850,4,0.004902,4.6361,-0.0166,0,0,0,0.99
1900,4,0.004838,4.6527,0.0000,0,0,0,0.99
1950,4,0.004898,4.6527,0.0000,0,0,0,0.99
2000,4,0.004814,4.6527,0.0000,0,0,0,0.99
2050,4,0.005261,4.6527,0.0000,0,0,0,0.99
2100,4,0.004639,4.6527,0.0166,0,0,0,0.99
2150,4,0.004602,4.6527,0.0000,0,0,0,0.99
2200,4,0.004553,4.6527,0.0000,0,0,0,0.99
2250,4,0.004595,4.6527,0.0000,0,0,0,0.99
2300,4,0.004858,4.6527,0.0000,0,0,0,0.99
2350,4,0.004652,4.6527,0.0000,0,0,0,0.99
2400,4,0.004411,4.6527,0.0000,0,0,0,0.99
2450,4,0.004398,4.6527,0.0000,0,0,0,0.99
2500,4,0.004445,4.6527,0.0000,0,0,0,0.99
2550,4,0.004279,4.6527,0.0000,0,0,0,0.99
2600,4,0.004259,4.6527,0.0000,0,0,0,0.99
2650,4,0.004221,4.6527,0.0000,0,0,0,0.99
2700,4,0.004280,4.6527,0.0000,0,0,0,0.99
2750,4,0.004216,4.6527,0.0000,0,0,0,0.99
2800,4,0.004048,4.6527,0.0000,0,0,0,0.99
2850,4,0.004077,4.6527,0.0000,0,0,0,0.99
2900,4,0.004194,4.6527,0.0000,0,0,0,0.99
2950,4,0.004029,4.6527,0.0000,0,0,0,0.99
3000,4,0.003848,4.6527,0.0000,0,0,0,0.99
3050,4,0.004013,4.6527,0.0000,0,0,0,0.99
3100,4,0.003928,4.6348,-0.0179,0,0,0,0.99
3150,4,0.003887,4.6384,-0.0143,0,0,0,0.99
3200,4,0.003937,4.6527,0.0000,0,0,0,0.99
3250,4,0.003776,4.6527,0.0000,0,0,0,0.99
3300,4,0.003846,4.6527,0.0000,0,0,0,0.99
3350,4,0.003775,4.6527,0.0000,0,0,0,0.99
3400,4,0.003668,4.6527,0.0148,0,0,0,0.99
3450,4,0.003641,4.6527,0.0154,0,0,0,0.99
3500,4,0.003562,4.6527,0.0000,0,0,0,0.99
3550,4,0.003676,4.6527,0.0000,0,0,0,0.99
3600,4,0.003572,4.6367,-0.0160,0,0,0,0.99
3650,4,0.003583,4.6527,0.0000,0,0,0,0.99
3700,4,0.003528,4.6527,0.0000,0,0,0,0.99
3750,4,0.003525,4.6527,0.0000,0,0,0,0.99
3800,4,0.003514,4.6527,0.0000,0,0,0,0.99
3850,4,0.003421,4.6373,0.0000,0,0,0,0.99
