step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma
350,3,0.420904,3.4710,0.0214,0,0,0,0.9
400,3,0.456558,2.7100,0.0497,0,0,0,0.9
450,3,0.335574,2.5433,0.0000,0,0,0,0.9
500,3,0.268131,3.2609,0.0571,0,0,0,0.9
550,3,0.227264,3.8168,-0.0145,0,0,0,0.9
600,3,0.204135,3.7034,0.1556,0,0,0,0.9
650,3,0.174772,4.5652,0.0477,0,0,0,0.9
700,3,0.185215,4.4384,-0.0515,0,0,0,0.9
750,3,0.117875,4.3201,0.0599,0,0,0,0.9
800,3,0.285639,4.4879,0.1700,0,0,0,0.9
850,3,0.095016,4.6527,0.0000,0,0,0,0.9
900,3,0.071318,4.6527,0.0000,0,0,0,0.9
950,3,0.108950,4.3587,0.0895,0,0,0,0.9
1000,3,0.115821,4.5039,0.2069,0,0,0,0.9
1050,3,0.104632,4.6206,0.0161,0,0,0,0.9
1100,3,0.072296,4.1426,-0.0176,0,0,0,0.9
1150,3,0.299852,3.8749,-0.0845,0,0,0,0.9
1200,3,0.306222,4.0586,-0.0912,0,0,0,0.9
1250,3,0.067412,4.6212,-0.0154,0,0,0,0.9
1300,3,0.068632,4.6373,0.0006,0,0,0,0.9
1350,3,0.115690,4.6390,0.0652,0,0,0,0.9
1400,3,0.056343,4.4284,0.0569,0,0,0,0.9
1450,3,0.032869,4.6367,-0.0160,0,0,0,0.9
1500,3,0.052830,4.6206,-0.0057,0,0,0,0.9
1550,3,0.098876,4.6218,-0.0309,0,0,0,0.9
1600,3,0.041656,4.6527,0.0148,0,0,0,0.9
1650,3,0.035990,4.6527,0.0179,0,0,0,0.9
1700,3,0.040360,4.6252,0.0149,0,0,0,0.9
1750,3,0.054912,4.6527,0.0000,0,0,0,0.9
1800,3,0.021692,4.6527,0.0000,0,0,0,0.9
1850,3,0.084825,4.5903,0.0499,0,0,0,0.9
1900,3,0.023730,4.6527,0.0000,0,0,0,0.9
1950,3,0.023570,4.6527,0.0000,0,0,0,0.9
2000,3,0.019726,4.6379,0.0000,0,0,0,0.9
2050,3,0.039231,4.6527,0.0000,0,0,0,0.9
2100,3,0.061691,4.6052,0.1043,0,0,0,0.9
2150,3,0.096734,4.5929,0.1406,0,0,0,0.9
2200,3,0.049231,4.6354,-0.0172,0,0,0,0.9
2250,3,0.024730,4.6373,-0.0012,0,0,0,0.9
2300,3,0.031312,4.6527,0.0000,0,0,0,0.9
2350,4,0.019066,4.6527,0.0000,0,0,0,0.9
2400,4,0.018495,4.6527,0.0000,0,0,0,0.9
2450,4,0.028923,4.6527,0.0000,0,0,0,0.9
2500,4,0.018495,4.6412,-0.0115,0,0,0,0.9
2550,4,0.015529,4.6527,0.0000,0,0,0,0.9
2600,4,0.017162,4.6217,-0.0309,0,0,0,0.9
2650,4,0.017179,4.6527,0.0000,0,0,0,0.9
2700,4,0.015759,4.6527,0.0000,0,0,0,0.9
2750,4,0.022680,4.6390,-0.0137,0,0,0,0.9
2800,4,0.019545,4.6527,0.0000,0,0,0,0.9
2850,4,0.025750,4.6527,0.0000,0,0,0,0.9
2900,4,0.018159,4.6527,0.0166,0,0,0,0.9
2950,4,0.022465,4.6527,0.0000,0,0,0,0.9
3000,4,0.015210,4.6527,0.0000,0,0,0,0.9
3050,4,0.011831,4.6527,0.0000,0,0,0,0.9
3100,4,0.017440,4.6527,0.0000,0,0,0,0.9
3150,4,0.012560,4.6527,0.0000,0,0,0,0.9
3200,4,0.015371,4.6527,0.0000,0,0,0,0.9
3250,4,0.012341,4.6527,0.0000,0,0,0,0.9
3300,4,0.018623,4.6527,0.0000,0,0,0,0.9
3350,4,0.017390,4.6527,0.0000,0,0,0,0.9
