step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma,lambda_ctx
350,3,1.012986,2.5439,-0.0091,0,0,0,0.9,0.2
400,3,1.141101,3.3713,-0.0660,0,0,0,0.9,0.2
450,3,0.909809,3.3858,0.1287,0,0,0,0.9,0.2
500,3,1.428116,3.9251,0.1068,0,0,0,0.9,0.2
550,3,0.807454,3.5194,-0.0593,0,0,0,0.9,0.2
600,3,1.074079,2.2080,-0.0252,0,0,0,0.9,0.2
650,3,0.816162,3.3193,0.0361,0,0,0,0.9,0.2
700,3,0.520602,4.3142,-0.1173,0,0,0,0.9,0.2
750,3,0.411822,3.0020,0.1686,0,0,0,0.9,0.2
800,3,0.457583,4.3807,0.1378,0,0,0,0.9,0.2
850,3,0.392562,4.3468,0.0331,0,0,0,0.9,0.2
900,3,0.469714,2.9684,0.1446,0,0,0,0.9,0.2
950,3,0.673478,2.9452,-0.0447,0,0,0,0.9,0.2
1000,3,0.562737,3.6091,0.2315,0,0,0,0.9,0.2
1050,3,0.472696,3.7907,0.0027,0,0,0,0.9,0.2
1100,3,0.388029,3.1094,-0.0729,0,0,0,0.9,0.2
1150,3,0.963649,2.3934,0.0552,0,0,0,0.9,0.2
1200,3,0.387334,4.0155,0.0057,0,0,0,0.9,0.2
1250,3,0.318205,4.3991,0.1447,0,0,0,0.9,0.2
1300,3,0.603983,4.4728,0.2752,0,0,0,0.9,0.2
1350,3,0.450892,4.5754,-0.0331,0,0,0,0.9,0.2
1400,3,0.664285,2.7478,0.0398,0,0,0,0.9,0.2
1450,3,0.263572,4.5581,0.2850,0,0,0,0.9,0.2
1500,3,0.910287,3.2143,0.0891,1,0,0,0.9,0.2
1550,3,0.258261,4.6527,0.0280,0,0,0,0.9,0.2
1600,3,0.267379,4.6527,0.0000,0,0,0,0.9,0.2
1650,3,0.428991,3.3865,0.1229,0,0,0,0.9,0.2
1700,3,0.238919,4.6527,0.0000,0,0,0,0.9,0.2
1750,3,0.362027,4.3953,-0.0024,0,0,0,0.9,0.2
1800,3,0.324686,4.6224,-0.0137,0,0,0,0.9,0.2
1850,3,0.518462,3.4305,-0.0218,0,0,0,0.9,0.2
1900,3,0.260166,4.6527,0.0000,0,0,0,0.9,0.2
1950,3,0.286791,3.2547,0.0795,0,0,0,0.9,0.2
2000,3,0.261442,4.4698,0.1398,0,0,0,0.9,0.2
2050,3,0.697516,3.0199,0.1382,0,0,0,0.9,0.2
2100,3,0.330925,4.3040,-0.0705,0,0,0,0.9,0.2
2150,3,0.276871,4.6527,0.0000,0,0,0,0.9,0.2
2200,3,0.425018,3.8756,-0.0125,0,0,0,0.9,0.2
