step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma
350,3,0.471324,4.6527,0.0000,0,0,0,0.9
400,3,0.449017,3.9448,-0.0796,0,0,0,0.9
450,3,0.314642,4.2776,-0.0339,0,0,0,0.9
500,3,0.395180,4.5476,0.0567,0,0,0,0.9
550,3,0.155009,4.4813,-0.0497,0,0,0,0.9
600,3,0.109258,4.4757,0.0133,0,0,0,0.9
650,3,0.283970,4.5465,-0.0296,0,0,0,0.9
700,3,0.061671,4.6052,0.0618,0,0,0,0.9
750,3,0.049448,4.6084,0.0279,0,0,0,0.9
800,3,0.039915,4.5925,-0.0281,0,0,0,0.9
850,3,0.037094,4.6379,0.0483,0,0,0,0.9
900,3,0.024729,4.6348,0.0252,0,0,0,0.9
950,3,0.050369,4.5637,-0.0124,0,0,0,0.9
1000,3,0.024655,4.6527,0.0000,0,0,0,0.9
1050,3,0.015982,4.6064,-0.0463,0,0,0,0.9
1100,3,0.014990,4.6527,0.0000,0,0,0,0.9
1150,3,0.016789,4.6396,-0.0131,0,0,0,0.9
1200,3,0.015580,4.6373,-0.0154,0,0,0,0.9
1250,3,0.011850,4.6527,0.0000,0,0,0,0.9
1300,3,0.015362,4.6527,0.0292,0,0,0,0.9
1350,4,0.005807,4.6527,0.0000,0,0,0,0.9
1400,4,0.005694,4.6527,0.0000,0,0,0,0.9
1450,4,0.005676,4.6527,0.0000,0,0,0,0.9
1500,4,0.005320,4.6527,0.0000,0,0,0,0.9
1550,4,0.005326,4.6527,0.0000,0,0,0,0.9
1600,4,0.005243,4.6527,0.0000,0,0,0,0.9
1650,4,0.005145,4.6361,-0.0006,0,0,0,0.9
1700,4,0.005132,4.6527,0.0000,0,0,0,0.9
1750,4,0.004915,4.6390,-0.0137,0,0,0,0.9
1800,4,0.006359,4.6527,0.0000,0,0,0,0.9
1850,4,0.004902,4.6361,-0.0166,0,0,0,0.9
1900,4,0.004838,4.6527,0.0000,0,0,0,0.9
1950,4,0.004898,4.6527,0.0000,0,0,0,0.9
2000,4,0.004814,4.6527,0.0000,0,0,0,0.9
2050,4,0.005261,4.6527,0.0000,0,0,0,0.9
2100,4,0.004639,4.6527,0.0166,0,0,0,0.9
2150,4,0.004602,4.6527,0.0000,0,0,0,0.9
2200,4,0.004553,4.6527,0.0000,0,0,0,0.9
2250,4,0.004595,4.6527,0.0000,0,0,0,0.9
2300,4,0.004858,4.6527,0.0000,0,0,0,0.9
2350,4,0.004652,4.6527,0.0000,0,0,0,0.9
2400,4,0.004411,4.6527,0.0000,0,0,0,0.9
2450,4,0.004398,4.6527,0.0000,0,0,0,0.9
2500,4,0.004445,4.6527,0.0000,0,0,0,0.9
2550,4,0.004279,4.6527,0.0000,0,0,0,0.9
2600,4,0.004259,4.6527,0.0000,0,0,0,0.9
2650,4,0.004221,4.6527,0.0000,0,0,0,0.9
2700,4,0.004280,4.6527,0.0000,0,0,0,0.9
2750,4,0.004216,4.6527,0.0000,0,0,0,0.9
2800,4,0.004048,4.6527,0.0000,0,0,0,0.9
2850,4,0.004077,4.6527,0.0000,0,0,0,0.9
2900,4,0.004194,4.6527,0.0000,0,0,0,0.9
