step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed
150,1,0.135486,2.3439,0.0000,0,0,0
200,1,0.025203,4.6527,0.0000,0,1,0
250,2,0.083432,4.6527,0.0000,0,0,0
300,2,0.026759,4.6527,0.0000,0,1,0
350,3,0.668688,3.5253,0.2157,3,0,0
400,3,0.359892,4.5310,0.1885,0,0,0
450,3,0.351985,3.9653,0.0627,1,0,0
500,3,0.276074,4.4977,-0.0837,0,0,0
550,3,0.171375,4.6527,0.0000,0,0,0
600,3,0.111094,4.5522,0.0197,0,0,0
650,3,0.102176,4.6270,-0.0257,0,0,0
700,3,0.079146,4.6032,0.0267,0,0,0
750,3,0.055005,4.4491,-0.0711,0,0,0
800,3,0.044580,4.6289,0.0010,0,0,0
850,4,0.032040,4.6527,0.0000,0,0,0
900,4,0.018886,4.6260,-0.0267,0,0,0
950,4,0.028082,4.6527,0.0000,0,0,0
1000,4,0.018963,4.6270,-0.0257,0,0,0
1050,4,0.018370,4.6527,0.0000,0,0,0
1100,4,0.015205,4.6250,-0.0277,0,0,0
1150,4,0.014354,4.6527,0.0000,0,0,0
1200,4,0.013449,4.6527,0.0000,0,0,0
1250,4,0.012957,4.6527,0.0000,0,0,0
1300,4,0.014669,4.6527,0.0000,0,0,0
1350,4,0.012289,4.6527,0.0000,0,0,0
1400,4,0.012372,4.6527,0.0000,0,0,0
1450,4,0.012334,4.6527,0.0000,0,0,0
1500,4,0.012099,4.6527,0.0000,0,0,0
1550,4,0.012683,4.6527,0.0000,0,0,0
1600,4,0.012073,4.6527,0.0000,0,0,0
1650,4,0.011493,4.6527,0.0000,0,0,0
1700,4,0.011815,4.6527,0.0000,0,0,0
1750,4,0.012095,4.6527,0.0000,0,0,0
1800,4,0.011103,4.6527,0.0000,0,0,0
1850,4,0.010590,4.6527,0.0000,0,0,0
1900,4,0.010469,4.6527,0.0000,0,0,0
1950,4,0.010162,4.6527,0.0000,0,0,0
2000,4,0.009773,4.6527,0.0000,0,0,0
2050,4,0.008635,4.6527,0.0000,0,0,0
2100,4,0.008618,4.6527,0.0000,0,0,0
2150,4,0.008818,4.6527,0.0000,0,0,0
2200,4,0.007991,4.6527,0.0000,0,0,0
2250,4,0.007816,4.6527,0.0000,0,0,0
2300,4,0.007595,4.6527,0.0000,0,0,0
2350,4,0.007713,4.6527,0.0000,0,0,0
2400,4,0.007353,4.6527,0.0000,0,0,0
2450,4,0.007025,4.6527,0.0000,0,0,0
2500,4,0.007068,4.6527,0.0000,0,0,0
2550,4,0.006760,4.6527,0.0000,0,0,0
2600,4,0.006576,4.6527,0.0000,0,0,0
2650,4,0.007398,4.6527,0.0000,0,0,0
2700,4,0.006415,4.6527,0.0000,0,0,0
2750,4,0.006223,4.6527,0.0000,0,0,0
2800,4,0.006293,4.6527,0.0000,0,0,0
