step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed
350,3,0.657239,2.8540,0.1158,0,0,0
400,3,0.453515,4.6058,-0.0148,0,0,0
450,3,0.408029,4.1397,0.0278,0,0,0
500,3,0.324816,4.0955,-0.1111,0,0,0
550,3,0.323250,3.9753,0.1122,0,0,0
600,3,0.207250,4.0678,0.0395,0,0,0
650,3,0.194752,4.1163,0.0202,0,0,0
700,3,0.235865,4.3331,0.1930,0,0,0
750,3,0.273205,3.8670,-0.1381,0,0,0
800,3,0.201320,3.9187,0.1126,0,0,0
850,3,0.225624,3.8228,0.0532,0,0,0
900,3,0.340671,3.8061,0.0659,0,0,0
950,3,0.170720,4.6218,-0.0006,0,0,0
1000,3,0.189381,4.1236,-0.2110,0,0,0
1050,3,0.211910,4.0284,0.0199,0,0,0
1100,3,0.095720,4.5937,-0.0011,0,0,0
1150,3,0.266139,4.4796,0.1612,0,0,0
1200,3,0.105247,4.5361,-0.0874,0,0,0
1250,3,0.199819,4.2926,-0.0659,0,0,0
1300,3,0.093880,4.6068,0.0622,0,0,0
1350,3,0.129592,4.4067,-0.0354,0,0,0
1400,3,0.117556,4.0313,0.0279,0,0,0
1450,3,0.095271,4.3115,-0.0967,0,0,0
1500,3,0.087103,4.3436,-0.1501,0,0,0
1550,3,0.061920,4.6384,0.0443,0,0,0
1600,3,0.113397,4.4093,-0.0846,0,0,0
1650,3,0.057537,4.6040,-0.0172,0,0,0
1700,3,0.104956,4.6348,0.0398,0,0,0
1750,3,0.065786,4.6046,0.0584,0,0,0
1800,3,0.066089,4.6527,0.0000,0,0,0
1850,3,0.055735,4.6527,0.0000,0,0,0
1900,3,0.073382,4.6077,0.1001,0,0,0
1950,3,0.064346,4.6077,-0.0174,0,0,0
2000,3,0.073468,4.6058,-0.0183,0,0,0
2050,3,0.072477,4.5448,-0.0480,0,0,0
2100,3,0.070245,4.5951,0.0466,0,0,0
2150,3,0.054752,4.6527,0.0000,0,0,0
2200,3,0.061014,4.6058,-0.0172,0,0,0
2250,3,0.048078,4.6527,0.0000,0,0,0
2300,3,0.076304,4.6097,-0.0133,0,0,0
2350,4,0.038572,4.6527,0.0000,0,0,0
2400,4,0.030477,4.6527,0.0000,0,0,0
2450,4,0.024404,4.6527,0.0000,0,0,0
2500,4,0.025845,4.6527,0.0000,0,0,0
2550,4,0.032092,4.6527,0.0000,0,0,0
2600,4,0.029897,4.6527,0.0000,0,0,0
2650,4,0.032662,4.6527,0.0000,0,0,0
2700,4,0.034653,4.6367,-0.0160,0,0,0
2750,4,0.033368,4.6361,-0.0166,0,0,0
2800,4,0.028658,4.6527,0.0000,0,0,0
2850,4,0.029562,4.5961,-0.0566,0,0,0
2900,4,0.030850,4.6527,0.0000,0,0,0
2950,4,0.029269,4.6527,0.0000,0,0,0
3000,4,0.030780,4.6384,-0.0143,0,0,0
3050,4,0.033703,4.6527,0.0160,0,0,0
3100,4,0.068303,4.6527,0.0137,0,0,0
3150,4,0.023462,4.6373,-0.0154,0,0,0
3200,4,0.034336,4.6527,0.0000,0,0,0
3250,4,0.023760,4.6527,0.0000,0,0,0
3300,4,0.030632,4.6527,0.0247,0,0,0
3350,4,0.030149,4.6527,0.0000,0,0,0
3400,4,0.021851,4.6527,0.0000,0,0,0
3450,4,0.029589,4.6527,0.0000,0,0,0
3500,4,0.032822,4.6367,-0.0006,0,0,0
3550,4,0.029894,4.6390,-0.0137,0,0,0
3600,4,0.033033,4.6206,-0.0211,0,0,0
3650,4,0.024469,4.6527,0.0000,0,0,0
3700,4,0.027639,4.6527,0.0000,0,0,0
3750,4,0.025990,4.6527,0.0000,0,0,0
3800,4,0.042104,4.5701,0.0666,0,0,0
3850,4,0.027789,4.6527,0.0000,0,0,0
3900,4,0.044475,4.5947,-0.0265,0,0,0
3950,4,0.029414,4.6527,0.0000,0,0,0
4000,4,0.024954,4.6097,-0.0430,0,0,0
4050,4,0.024669,4.6527,0.0000,0,0,0
4100,4,0.020999,4.6527,0.0000,0,0,0
4150,4,0.022906,4.6527,0.0000,0,0,0
4200,4,0.027871,4.6527,0.0000,0,0,0
4250,4,0.024607,4.6527,0.0000,0,0,0
4300,4,0.037549,4.6367,-0.0160,0,0,0
4350,4,0.032727,4.6194,0.0124,0,0,0
4400,4,0.026454,4.6527,0.0000,0,0,0
4450,4,0.028881,4.6379,-0.0148,0,0,0
4500,4,0.031467,4.6527,0.0000,0,0,0
4550,4,0.022097,4.6527,0.0000,0,0,0
4600,4,0.016502,4.6527,0.0000,0,0,0
4650,4,0.027888,4.6527,0.0000,0,0,0
4700,4,0.032405,4.6367,0.0297,0,0,0
4750,4,0.021993,4.6367,-0.0160,0,0,0
4800,4,0.022539,4.6527,0.0000,0,0,0
